wall_time_iso,index,utilization.gpu [%],utilization.memory [%],memory.used [MiB],power.draw [W],clocks.current.graphics [MHz],temperature.gpu
2026/05/19 18:01:26.004, 1, 6, 0, 3491, 55.80, 2565, 47
2026/05/19 18:01:26.232, 0, 2, 0, 1459, 60.15, 2565, 38
2026/05/19 18:01:26.236, 1, 11, 1, 3491, 56.87, 2565, 47
2026/05/19 18:01:26.466, 0, 2, 0, 1459, 61.06, 2565, 38
2026/05/19 18:01:26.470, 1, 11, 1, 3491, 56.87, 2565, 47
2026/05/19 18:01:26.696, 0, 2, 0, 1459, 61.06, 2565, 38
2026/05/19 18:01:26.698, 1, 11, 1, 3491, 57.49, 2565, 47
2026/05/19 18:01:26.928, 0, 0, 0, 1461, 61.26, 2565, 38
2026/05/19 18:01:26.930, 1, 11, 1, 3491, 57.49, 2565, 47
2026/05/19 18:01:27.159, 0, 0, 0, 3291, 61.26, 2565, 38
2026/05/19 18:01:27.161, 1, 6, 0, 3491, 56.29, 2565, 47
2026/05/19 18:01:27.389, 0, 0, 0, 4581, 61.53, 2565, 38
2026/05/19 18:01:27.392, 1, 6, 0, 3491, 56.29, 2565, 47
2026/05/19 18:01:27.618, 0, 0, 0, 4581, 61.53, 2565, 38
2026/05/19 18:01:27.621, 1, 6, 0, 3491, 56.29, 2565, 47
2026/05/19 18:01:27.851, 0, 0, 0, 4581, 61.05, 2565, 38
2026/05/19 18:01:27.854, 1, 6, 0, 3490, 55.45, 2565, 47
2026/05/19 18:01:28.083, 0, 0, 0, 4581, 61.05, 2565, 38
2026/05/19 18:01:28.085, 1, 6, 0, 3508, 55.45, 2565, 47
2026/05/19 18:01:28.313, 0, 0, 0, 4581, 61.05, 2565, 38
2026/05/19 18:01:28.315, 1, 9, 1, 3508, 56.50, 2565, 47
2026/05/19 18:01:28.543, 0, 0, 0, 4581, 60.29, 2565, 38
2026/05/19 18:01:28.546, 1, 9, 1, 3508, 56.50, 2565, 47
2026/05/19 18:01:28.773, 0, 0, 0, 4581, 60.29, 2565, 38
2026/05/19 18:01:28.777, 1, 9, 1, 3508, 56.36, 2565, 47
2026/05/19 18:01:29.004, 0, 1, 0, 4581, 59.74, 2565, 38
2026/05/19 18:01:29.008, 1, 9, 1, 3508, 56.36, 2565, 47
2026/05/19 18:01:29.238, 0, 1, 0, 4581, 59.74, 2565, 38
2026/05/19 18:01:29.241, 1, 10, 1, 3508, 57.00, 2565, 47
2026/05/19 18:01:29.469, 0, 1, 0, 4581, 60.47, 2565, 38
2026/05/19 18:01:29.472, 1, 10, 1, 3493, 57.00, 2565, 47
2026/05/19 18:01:29.702, 0, 1, 0, 4581, 60.47, 2565, 38
2026/05/19 18:01:29.705, 1, 10, 1, 3493, 57.98, 2565, 47
2026/05/19 18:01:29.932, 0, 1, 0, 4581, 61.12, 2565, 38
2026/05/19 18:01:29.935, 1, 10, 1, 3493, 57.98, 2565, 47
2026/05/19 18:01:30.164, 0, 1, 0, 4581, 61.12, 2565, 38
2026/05/19 18:01:30.167, 1, 11, 2, 3493, 58.27, 2565, 47
2026/05/19 18:01:30.396, 0, 1, 0, 4581, 61.20, 2565, 38
2026/05/19 18:01:30.399, 1, 11, 2, 3490, 58.27, 2565, 47
2026/05/19 18:01:30.627, 0, 1, 0, 4581, 61.20, 2565, 38
2026/05/19 18:01:30.629, 1, 11, 2, 3490, 58.12, 2565, 47
2026/05/19 18:01:30.858, 0, 0, 0, 4581, 60.84, 2565, 38
2026/05/19 18:01:30.861, 1, 11, 2, 3490, 58.12, 2565, 47
2026/05/19 18:01:31.088, 0, 0, 0, 4581, 60.84, 2565, 38
2026/05/19 18:01:31.091, 1, 11, 2, 3490, 58.12, 2565, 47
2026/05/19 18:01:31.319, 0, 0, 0, 4581, 60.84, 2565, 38
2026/05/19 18:01:31.322, 1, 6, 0, 3518, 56.81, 2565, 47
2026/05/19 18:01:31.550, 0, 0, 0, 4581, 60.29, 2565, 38
2026/05/19 18:01:31.553, 1, 6, 0, 3562, 56.81, 2565, 47
2026/05/19 18:01:31.781, 0, 0, 0, 4863, 60.29, 2565, 38
2026/05/19 18:01:31.784, 1, 6, 0, 3681, 56.80, 2565, 47
2026/05/19 18:01:32.012, 0, 34, 14, 4993, 67.57, 2565, 42
2026/05/19 18:01:32.015, 1, 6, 0, 3681, 56.80, 2565, 47
2026/05/19 18:01:32.243, 0, 34, 14, 5323, 67.57, 2565, 42
2026/05/19 18:01:32.246, 1, 5, 0, 3681, 57.63, 2565, 47
2026/05/19 18:01:32.473, 0, 34, 14, 5335, 78.78, 2565, 38
2026/05/19 18:01:32.476, 1, 5, 0, 3680, 57.63, 2565, 47
2026/05/19 18:01:32.704, 0, 34, 14, 5189, 78.78, 2565, 38
2026/05/19 18:01:32.707, 1, 5, 0, 3680, 56.76, 2565, 47
