timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], memory.used [MiB], temperature.gpu
2026/05/10 16:34:06.835, 27 %, 9 %, 116.11 W, 2714 MiB, 65
2026/05/10 16:34:07.037, 24 %, 6 %, 144.85 W, 2714 MiB, 65
2026/05/10 16:34:07.239, 30 %, 11 %, 110.24 W, 2714 MiB, 65
2026/05/10 16:34:07.441, 30 %, 7 %, 118.99 W, 2714 MiB, 64
2026/05/10 16:34:07.650, 26 %, 6 %, 109.82 W, 2718 MiB, 64
2026/05/10 16:34:07.854, 33 %, 8 %, 115.25 W, 2720 MiB, 61
2026/05/10 16:34:08.056, 29 %, 7 %, 109.11 W, 2720 MiB, 61
2026/05/10 16:34:08.257, 26 %, 8 %, 91.30 W, 2720 MiB, 61
2026/05/10 16:34:08.470, 34 %, 9 %, 123.13 W, 2720 MiB, 61
2026/05/10 16:34:08.673, 30 %, 6 %, 113.01 W, 2722 MiB, 61
2026/05/10 16:34:08.874, 32 %, 7 %, 79.45 W, 2724 MiB, 61
2026/05/10 16:34:09.075, 31 %, 8 %, 86.59 W, 2726 MiB, 61
2026/05/10 16:34:09.277, 27 %, 6 %, 137.38 W, 2726 MiB, 62
2026/05/10 16:34:09.488, 38 %, 8 %, 117.95 W, 2726 MiB, 62
2026/05/10 16:34:09.689, 32 %, 7 %, 113.30 W, 2726 MiB, 62
2026/05/10 16:34:09.891, 28 %, 8 %, 129.36 W, 2728 MiB, 59
2026/05/10 16:34:10.092, 32 %, 9 %, 117.32 W, 2732 MiB, 59
2026/05/10 16:34:10.293, 26 %, 5 %, 108.20 W, 2732 MiB, 59
2026/05/10 16:34:10.495, 28 %, 8 %, 115.06 W, 2732 MiB, 65
2026/05/10 16:34:10.697, 28 %, 6 %, 112.40 W, 2732 MiB, 65
2026/05/10 16:34:10.898, 30 %, 8 %, 114.74 W, 2734 MiB, 65
2026/05/10 16:34:11.099, 30 %, 7 %, 112.91 W, 2734 MiB, 64
2026/05/10 16:34:11.301, 30 %, 7 %, 119.65 W, 2738 MiB, 64
2026/05/10 16:34:11.502, 31 %, 8 %, 112.90 W, 2738 MiB, 64
2026/05/10 16:34:11.703, 32 %, 7 %, 115.10 W, 2738 MiB, 59
2026/05/10 16:34:11.905, 28 %, 7 %, 109.54 W, 2740 MiB, 59
2026/05/10 16:34:12.106, 36 %, 9 %, 108.46 W, 2740 MiB, 61
2026/05/10 16:34:12.319, 31 %, 7 %, 105.77 W, 2744 MiB, 61
2026/05/10 16:34:12.522, 31 %, 7 %, 106.67 W, 2744 MiB, 66
2026/05/10 16:34:12.729, 30 %, 7 %, 106.98 W, 2746 MiB, 66
2026/05/10 16:34:12.930, 27 %, 9 %, 109.37 W, 2746 MiB, 63
2026/05/10 16:34:13.132, 0 %, 0 %, 95.59 W, 2746 MiB, 63
2026/05/10 16:34:13.333, 37 %, 13 %, 97.28 W, 2794 MiB, 63
2026/05/10 16:34:13.535, 34 %, 7 %, 93.69 W, 2750 MiB, 60
2026/05/10 16:34:13.738, 31 %, 8 %, 93.36 W, 2750 MiB, 60
2026/05/10 16:34:13.939, 32 %, 7 %, 102.61 W, 2750 MiB, 60
2026/05/10 16:34:14.141, 33 %, 7 %, 116.57 W, 2752 MiB, 61
2026/05/10 16:34:14.346, 29 %, 6 %, 156.29 W, 2752 MiB, 61
2026/05/10 16:34:14.548, 23 %, 6 %, 68.28 W, 2752 MiB, 66
2026/05/10 16:34:14.750, 23 %, 7 %, 106.45 W, 2804 MiB, 66
2026/05/10 16:34:14.952, 33 %, 9 %, 114.94 W, 2756 MiB, 66
2026/05/10 16:34:15.153, 31 %, 6 %, 108.55 W, 2756 MiB, 59
2026/05/10 16:34:18.444, 27 %, 6 %, 112.43 W, 2756 MiB, 59
2026/05/10 16:34:18.646, 28 %, 7 %, 118.61 W, 2756 MiB, 63
2026/05/10 16:34:18.853, 31 %, 7 %, 113.92 W, 2762 MiB, 63
2026/05/10 16:34:19.054, 33 %, 9 %, 108.58 W, 2762 MiB, 60
2026/05/10 16:34:19.257, 30 %, 6 %, 111.40 W, 2762 MiB, 60
2026/05/10 16:34:19.459, 30 %, 7 %, 112.83 W, 2762 MiB, 60
2026/05/10 16:34:19.660, 31 %, 8 %, 114.38 W, 2762 MiB, 62
2026/05/10 16:34:19.869, 29 %, 9 %, 108.63 W, 2764 MiB, 62
2026/05/10 16:34:20.071, 32 %, 7 %, 110.90 W, 2768 MiB, 63
2026/05/10 16:34:20.272, 32 %, 8 %, 113.33 W, 2768 MiB, 63
2026/05/10 16:34:20.473, 28 %, 7 %, 115.08 W, 2770 MiB, 63
2026/05/10 16:34:20.674, 38 %, 7 %, 107.71 W, 2770 MiB, 62
2026/05/10 16:34:20.879, 28 %, 10 %, 110.36 W, 2770 MiB, 62
2026/05/10 16:34:21.081, 33 %, 9 %, 108.86 W, 2774 MiB, 62
2026/05/10 16:34:21.283, 31 %, 7 %, 108.04 W, 2774 MiB, 60
2026/05/10 16:34:21.489, 29 %, 7 %, 109.90 W, 2774 MiB, 60
2026/05/10 16:34:21.690, 30 %, 8 %, 117.50 W, 2774 MiB, 60
2026/05/10 16:34:21.892, 29 %, 6 %, 114.06 W, 2774 MiB, 60
2026/05/10 16:34:22.093, 34 %, 10 %, 110.29 W, 2776 MiB, 60
2026/05/10 16:34:22.294, 29 %, 6 %, 115.68 W, 2780 MiB, 64
2026/05/10 16:34:22.496, 34 %, 9 %, 119.38 W, 2780 MiB, 64
2026/05/10 16:34:22.698, 28 %, 8 %, 114.13 W, 2782 MiB, 64
2026/05/10 16:34:22.899, 29 %, 6 %, 116.34 W, 2782 MiB, 63
2026/05/10 16:34:23.100, 30 %, 7 %, 114.51 W, 2782 MiB, 63
2026/05/10 16:34:23.301, 29 %, 8 %, 154.31 W, 2834 MiB, 63
2026/05/10 16:34:23.503, 31 %, 7 %, 109.10 W, 2786 MiB, 61
2026/05/10 16:34:23.707, 29 %, 8 %, 121.06 W, 2786 MiB, 61
2026/05/10 16:34:23.911, 32 %, 6 %, 113.90 W, 2786 MiB, 61
2026/05/10 16:34:24.112, 32 %, 7 %, 116.74 W, 2786 MiB, 59
2026/05/10 16:34:24.315, 30 %, 8 %, 97.45 W, 2792 MiB, 59
2026/05/10 16:34:24.517, 30 %, 6 %, 111.81 W, 2792 MiB, 59
2026/05/10 16:34:24.718, 36 %, 7 %, 66.93 W, 2792 MiB, 61
2026/05/10 16:34:24.927, 31 %, 8 %, 21.97 W, 2792 MiB, 61
2026/05/10 16:34:25.128, 10 %, 2 %, 20.77 W, 2792 MiB, 64
2026/05/10 16:34:25.330, 0 %, 0 %, 20.43 W, 2792 MiB, 64
2026/05/10 16:34:25.532, 0 %, 0 %, 19.64 W, 2792 MiB, 64
2026/05/10 16:34:25.733, 0 %, 0 %, 19.72 W, 2792 MiB, 54
2026/05/10 16:34:25.935, 0 %, 0 %, 17.76 W, 2792 MiB, 54
2026/05/10 16:34:26.137, 0 %, 0 %, 18.47 W, 2792 MiB, 54
2026/05/10 16:34:26.338, 0 %, 0 %, 17.84 W, 2792 MiB, 53
2026/05/10 16:34:26.544, 0 %, 0 %, 17.76 W, 2792 MiB, 53
2026/05/10 16:34:26.746, 0 %, 0 %, 18.09 W, 2792 MiB, 52
2026/05/10 16:34:26.949, 0 %, 0 %, 17.99 W, 2792 MiB, 52
2026/05/10 16:34:27.153, 0 %, 0 %, 17.76 W, 2792 MiB, 52
2026/05/10 16:34:27.356, 0 %, 0 %, 18.19 W, 2792 MiB, 52
2026/05/10 16:34:27.557, 0 %, 0 %, 17.81 W, 2792 MiB, 52
2026/05/10 16:34:27.759, 0 %, 0 %, 17.53 W, 2792 MiB, 52
2026/05/10 16:34:27.961, 0 %, 0 %, 17.34 W, 2784 MiB, 52
2026/05/10 16:34:28.163, 0 %, 0 %, 19.11 W, 0 MiB, 52
2026/05/10 16:34:28.366, 1 %, 0 %, 18.04 W, 0 MiB, 52
2026/05/10 16:34:28.567, [Unknown Error], [Unknown Error], 1303.00 W, 0 MiB, 52
2026/05/10 16:34:29.668, 0 %, 0 %, 30.41 W, 0 MiB, 52
2026/05/10 16:34:29.871, 0 %, 0 %, 27.32 W, 0 MiB, 52
2026/05/10 16:34:30.073, [Unknown Error], [Unknown Error], 1336.14 W, 0 MiB, 52
2026/05/10 16:34:31.066, 0 %, 0 %, 30.23 W, 0 MiB, 52
2026/05/10 16:34:31.271, 0 %, 0 %, 26.75 W, 0 MiB, 52
2026/05/10 16:34:31.472, [Unknown Error], [Unknown Error], 1368.72 W, 0 MiB, 52
2026/05/10 16:34:32.468, 0 %, 0 %, 30.26 W, 0 MiB, 52
2026/05/10 16:34:32.671, 0 %, 0 %, 26.87 W, 0 MiB, 52
2026/05/10 16:34:32.872, [Unknown Error], [Unknown Error], 1400.83 W, 0 MiB, 52
2026/05/10 16:34:33.870, 0 %, 0 %, 30.07 W, 0 MiB, 52
2026/05/10 16:34:34.074, 0 %, 0 %, 28.78 W, 0 MiB, 52
2026/05/10 16:34:34.276, [Unknown Error], [Unknown Error], 1432.38 W, 0 MiB, 52
2026/05/10 16:34:35.279, 0 %, 0 %, 30.02 W, 0 MiB, 52
2026/05/10 16:34:35.484, 0 %, 0 %, 29.13 W, 0 MiB, 52
2026/05/10 16:34:35.686, [Unknown Error], [Unknown Error], 1463.72 W, 0 MiB, 52
2026/05/10 16:34:36.668, 0 %, 0 %, 29.99 W, 0 MiB, 52
2026/05/10 16:34:36.874, 0 %, 0 %, 29.53 W, 0 MiB, 52
