timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], memory.used [MiB], temperature.gpu
2026/05/10 16:33:14.342, 0 %, 0 %, 20.41 W, 1946 MiB, 49
2026/05/10 16:33:14.544, 0 %, 0 %, 19.41 W, 1946 MiB, 49
2026/05/10 16:33:14.748, 0 %, 0 %, 18.47 W, 1946 MiB, 48
2026/05/10 16:33:14.952, 0 %, 0 %, 17.31 W, 1946 MiB, 48
2026/05/10 16:33:15.154, 0 %, 0 %, 17.22 W, 1946 MiB, 48
2026/05/10 16:33:15.356, 0 %, 0 %, 17.46 W, 1946 MiB, 47
2026/05/10 16:33:15.563, 0 %, 0 %, 17.43 W, 1946 MiB, 47
2026/05/10 16:33:15.765, 0 %, 0 %, 17.34 W, 1946 MiB, 47
2026/05/10 16:33:15.967, 0 %, 0 %, 17.10 W, 1946 MiB, 47
2026/05/10 16:33:16.169, 0 %, 0 %, 17.21 W, 1946 MiB, 47
2026/05/10 16:33:16.371, 0 %, 0 %, 16.80 W, 1946 MiB, 47
2026/05/10 16:33:16.580, 0 %, 0 %, 17.17 W, 1946 MiB, 47
2026/05/10 16:33:16.781, 0 %, 0 %, 17.95 W, 1946 MiB, 47
2026/05/10 16:33:16.983, 0 %, 0 %, 17.24 W, 1946 MiB, 47
2026/05/10 16:33:17.190, 0 %, 0 %, 16.86 W, 1946 MiB, 47
2026/05/10 16:33:17.392, 0 %, 0 %, 17.12 W, 1946 MiB, 47
2026/05/10 16:33:17.597, 0 %, 0 %, 17.07 W, 1946 MiB, 47
2026/05/10 16:33:17.798, 0 %, 0 %, 17.16 W, 1946 MiB, 47
2026/05/10 16:33:18.003, 0 %, 0 %, 17.16 W, 1946 MiB, 47
2026/05/10 16:33:18.205, 0 %, 0 %, 16.90 W, 1946 MiB, 47
2026/05/10 16:33:18.410, 0 %, 0 %, 17.14 W, 1946 MiB, 47
2026/05/10 16:33:18.622, 0 %, 0 %, 17.28 W, 1946 MiB, 47
2026/05/10 16:33:18.824, 0 %, 0 %, 17.08 W, 1946 MiB, 47
2026/05/10 16:33:19.025, 0 %, 0 %, 16.93 W, 1946 MiB, 47
2026/05/10 16:33:19.227, 0 %, 0 %, 17.20 W, 1946 MiB, 47
2026/05/10 16:33:19.429, 0 %, 0 %, 17.20 W, 1946 MiB, 47
2026/05/10 16:33:19.631, 0 %, 0 %, 17.06 W, 1946 MiB, 47
2026/05/10 16:33:19.833, 0 %, 0 %, 17.23 W, 1946 MiB, 47
2026/05/10 16:33:20.034, 0 %, 0 %, 12.81 W, 1946 MiB, 47
