timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/05/06 21:05:17.682, [Unknown Error], [Unknown Error], 0 MiB, 29.04 W
2026/05/06 21:05:19.545, [Unknown Error], [Unknown Error], 0 MiB, 29.01 W
2026/05/06 21:05:21.409, [Unknown Error], [Unknown Error], 0 MiB, 29.11 W
2026/05/06 21:05:23.273, [Unknown Error], [Unknown Error], 0 MiB, 29.06 W
2026/05/06 21:05:25.140, [Unknown Error], [Unknown Error], 0 MiB, 29.11 W
2026/05/06 21:05:27.005, [Unknown Error], [Unknown Error], 0 MiB, 29.07 W
2026/05/06 21:05:28.870, [Unknown Error], [Unknown Error], 0 MiB, 29.06 W
2026/05/06 21:05:30.737, [Unknown Error], [Unknown Error], 0 MiB, 29.09 W
2026/05/06 21:05:32.603, [Unknown Error], [Unknown Error], 0 MiB, 29.01 W
2026/05/06 21:05:36.678, [Unknown Error], [Unknown Error], 0 MiB, 29.06 W
