timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/05/06 21:05:57.191, 0 %, 0 %, 0 MiB, 27.76 W
2026/05/06 21:05:58.197, [Unknown Error], [Unknown Error], 0 MiB, 29.04 W
2026/05/06 21:06:00.101, [Unknown Error], [Unknown Error], 0 MiB, 29.18 W
2026/05/06 21:06:02.000, [Unknown Error], [Unknown Error], 0 MiB, 29.37 W
2026/05/06 21:06:03.894, 0 %, 0 %, 0 MiB, 404631.94 W
2026/05/06 21:06:05.497, [Unknown Error], [Unknown Error], 0 MiB, 348400.84 W
2026/05/06 21:06:07.160, 0 %, 0 %, 356 MiB, 27.96 W
2026/05/06 21:06:08.162, 0 %, 0 %, 808 MiB, 31.24 W
2026/05/06 21:06:11.363, 0 %, 0 %, 808 MiB, 24.83 W
2026/05/06 21:06:12.365, 0 %, 0 %, 808 MiB, 24.84 W
2026/05/06 21:06:13.366, 0 %, 0 %, 808 MiB, 24.85 W
2026/05/06 21:06:14.367, 0 %, 0 %, 808 MiB, 24.79 W
2026/05/06 21:06:15.368, 0 %, 0 %, 808 MiB, 24.84 W
2026/05/06 21:06:16.370, 0 %, 0 %, 808 MiB, 24.95 W
2026/05/06 21:06:17.371, 31 %, 1 %, 2014 MiB, 32.25 W
2026/05/06 21:06:18.376, 18 %, 4 %, 4644 MiB, 72.14 W
2026/05/06 21:06:19.377, 0 %, 0 %, 860 MiB, 19.37 W
2026/05/06 21:06:20.380, 0 %, 0 %, 860 MiB, 17.46 W
2026/05/06 21:06:21.382, 0 %, 0 %, 860 MiB, 17.35 W
2026/05/06 21:06:22.383, 0 %, 0 %, 834 MiB, 20.43 W
2026/05/06 21:06:23.386, 7 %, 7 %, 882 MiB, 24.79 W
2026/05/06 21:06:24.388, 21 %, 4 %, 1008 MiB, 110.72 W
2026/05/06 21:06:25.389, 20 %, 4 %, 1094 MiB, 59.99 W
2026/05/06 21:06:26.391, 14 %, 3 %, 1178 MiB, 61.60 W
2026/05/06 21:06:27.393, 4 %, 1 %, 1262 MiB, 53.13 W
2026/05/06 21:06:28.394, 17 %, 4 %, 1382 MiB, 73.33 W
