timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/05/06 21:06:29.395, 47 %, 12 %, 5048 MiB, 96.13 W
2026/05/06 21:06:30.397, 0 %, 0 %, 1540 MiB, 74.80 W
2026/05/06 21:06:31.398, 33 %, 7 %, 1588 MiB, 55.76 W
2026/05/06 21:06:32.400, 24 %, 4 %, 1764 MiB, 129.54 W
2026/05/06 21:06:33.407, 26 %, 4 %, 1936 MiB, 121.51 W
2026/05/06 21:06:34.409, 24 %, 4 %, 2078 MiB, 137.58 W
2026/05/06 21:06:35.410, 28 %, 4 %, 2252 MiB, 132.77 W
2026/05/06 21:06:36.425, 26 %, 4 %, 2390 MiB, 98.83 W
2026/05/06 21:06:37.428, 29 %, 7 %, 2558 MiB, 108.70 W
2026/05/06 21:06:38.431, 18 %, 3 %, 2716 MiB, 132.15 W
2026/05/06 21:06:39.432, 27 %, 5 %, 6482 MiB, 105.66 W
2026/05/06 21:06:40.437, 0 %, 0 %, 2678 MiB, 41.09 W
2026/05/06 21:06:41.438, 37 %, 7 %, 2758 MiB, 105.07 W
2026/05/06 21:06:42.440, 29 %, 4 %, 2990 MiB, 125.44 W
2026/05/06 21:06:45.615, 36 %, 8 %, 3164 MiB, 115.42 W
2026/05/06 21:06:46.616, 37 %, 7 %, 3390 MiB, 133.54 W
2026/05/06 21:06:47.617, 28 %, 4 %, 3610 MiB, 136.22 W
2026/05/06 21:06:48.619, 31 %, 4 %, 3798 MiB, 136.39 W
2026/05/06 21:06:49.620, 35 %, 5 %, 4032 MiB, 137.10 W
2026/05/06 21:06:50.621, 34 %, 5 %, 4240 MiB, 133.08 W
2026/05/06 21:06:51.622, 31 %, 5 %, 4432 MiB, 135.87 W
2026/05/06 21:06:52.624, 36 %, 8 %, 4654 MiB, 135.30 W
2026/05/06 21:06:53.627, 28 %, 6 %, 4874 MiB, 136.92 W
2026/05/06 21:06:54.629, 29 %, 7 %, 5066 MiB, 137.54 W
2026/05/06 21:06:55.630, 32 %, 5 %, 5288 MiB, 136.60 W
2026/05/06 21:06:56.631, 39 %, 6 %, 5526 MiB, 135.97 W
2026/05/06 21:06:57.633, 34 %, 5 %, 5746 MiB, 137.65 W
2026/05/06 21:06:58.634, 40 %, 6 %, 5986 MiB, 137.28 W
2026/05/06 21:06:59.636, 35 %, 8 %, 6214 MiB, 128.91 W
2026/05/06 21:07:00.642, 39 %, 9 %, 6436 MiB, 135.73 W
2026/05/06 21:07:01.643, 37 %, 6 %, 6654 MiB, 137.32 W
2026/05/06 21:07:02.644, 37 %, 5 %, 6900 MiB, 136.53 W
2026/05/06 21:07:03.646, 31 %, 4 %, 7066 MiB, 136.80 W
2026/05/06 21:07:04.647, 27 %, 4 %, 7236 MiB, 134.77 W
2026/05/06 21:07:05.649, 28 %, 4 %, 7402 MiB, 137.15 W
2026/05/06 21:07:06.650, 26 %, 4 %, 7568 MiB, 135.71 W
2026/05/06 21:07:07.651, 27 %, 4 %, 7738 MiB, 134.79 W
2026/05/06 21:07:08.653, 34 %, 5 %, 7924 MiB, 136.72 W
2026/05/06 21:07:09.654, 33 %, 5 %, 8130 MiB, 137.13 W
2026/05/06 21:07:10.656, 38 %, 6 %, 8366 MiB, 136.02 W
2026/05/06 21:07:11.657, 40 %, 6 %, 8570 MiB, 136.54 W
2026/05/06 21:07:12.659, 39 %, 6 %, 8774 MiB, 136.37 W
2026/05/06 21:07:13.660, 28 %, 4 %, 8962 MiB, 136.32 W
2026/05/06 21:07:14.661, 31 %, 4 %, 9164 MiB, 136.85 W
2026/05/06 21:07:15.662, 34 %, 5 %, 9352 MiB, 136.57 W
2026/05/06 21:07:16.664, 28 %, 4 %, 9556 MiB, 135.86 W
2026/05/06 21:07:19.834, 30 %, 4 %, 9726 MiB, 136.76 W
2026/05/06 21:07:20.834, 32 %, 5 %, 9918 MiB, 135.95 W
2026/05/06 21:07:21.836, 30 %, 7 %, 10140 MiB, 137.02 W
2026/05/06 21:07:22.837, 31 %, 7 %, 10342 MiB, 134.83 W
2026/05/06 21:07:23.839, 27 %, 5 %, 10502 MiB, 136.92 W
2026/05/06 21:07:24.840, 28 %, 4 %, 10704 MiB, 137.31 W
2026/05/06 21:07:25.841, 25 %, 4 %, 10862 MiB, 134.96 W
2026/05/06 21:07:26.842, 29 %, 4 %, 11050 MiB, 133.20 W
2026/05/06 21:07:27.844, 26 %, 4 %, 11254 MiB, 137.58 W
2026/05/06 21:07:28.845, 31 %, 5 %, 11482 MiB, 135.22 W
2026/05/06 21:07:29.846, 27 %, 4 %, 11668 MiB, 135.62 W
2026/05/06 21:07:30.847, 29 %, 4 %, 11854 MiB, 135.74 W
2026/05/06 21:07:31.849, 27 %, 4 %, 12020 MiB, 136.80 W
2026/05/06 21:07:32.850, 24 %, 4 %, 12198 MiB, 135.84 W
2026/05/06 21:07:33.851, 28 %, 4 %, 12386 MiB, 137.75 W
2026/05/06 21:07:34.853, 27 %, 4 %, 12560 MiB, 135.93 W
2026/05/06 21:07:35.854, 31 %, 5 %, 12746 MiB, 136.45 W
2026/05/06 21:07:36.855, 0 %, 0 %, 12766 MiB, 69.43 W
2026/05/06 21:07:37.857, 0 %, 0 %, 12766 MiB, 20.07 W
2026/05/06 21:07:38.866, 0 %, 0 %, 4744 MiB, 18.63 W
2026/05/06 21:07:39.868, [Unknown Error], [Unknown Error], 0 MiB, 30.91 W
2026/05/06 21:07:41.651, [Unknown Error], [Unknown Error], 0 MiB, 30.84 W
2026/05/06 21:07:43.524, [Unknown Error], [Unknown Error], 0 MiB, 30.74 W
2026/05/06 21:07:45.400, [Unknown Error], [Unknown Error], 0 MiB, 30.61 W
2026/05/06 21:07:47.281, [Unknown Error], [Unknown Error], 0 MiB, 30.57 W
2026/05/06 21:07:49.160, [Unknown Error], [Unknown Error], 0 MiB, 30.43 W
2026/05/06 21:07:51.047, [Unknown Error], [Unknown Error], 0 MiB, 30.41 W
