1778114796.540734422,0, 0, 0, 27.12
1778114802.768086313,0, 0, 0, 26.82
1778114804.773703381,0, 0, 0, 27.08
1778114806.775554884,0, 0, 4, 27.00
1778114808.637764565,0, 0, 302, 25.24
1778114809.666620681,0, 0, 752, 24.32
1778114810.700422124,0, 0, 752, 24.16
1778114811.749971974,0, 0, 752, 24.49
1778114812.793623494,0, 0, 752, 24.23
1778114813.823645397,0, 0, 752, 24.31
1778114814.874575641,0, 0, 752, 24.23
1778114815.907845565,0, 0, 752, 24.24
1778114816.936397585,0, 0, 752, 24.17
1778114817.967440958,26, 2, 1092, 27.34
1778114819.015188203,57, 29, 4248, 110.42
1778114820.045674625,0, 0, 380, 25.74
1778114821.076755535,0, 0, 380, 16.23
