1778114843.579213960,0, 0, 0, 27.24
1778114847.452903233,0, 0, 0, 27.52
1778114849.339689831,0, 0, 6, 27.45
1778114850.997350951,0, 0, 302, 25.69
1778114852.025522458,0, 0, 752, 24.33
1778114853.061807494,0, 0, 752, 24.65
1778114854.115050257,0, 0, 752, 24.51
1778114855.158862339,0, 0, 752, 24.39
1778114856.188753846,0, 0, 752, 24.56
1778114857.218198881,0, 0, 752, 24.41
1778114858.259771709,0, 0, 752, 24.99
1778114859.333704737,26, 1, 4124, 171.98
1778114860.365461652,0, 0, 406, 18.28
1778114861.407477889,0, 0, 406, 16.61
1778114862.443790692,0, 0, 406, 15.97
1778114863.520263613,6, 4, 576, 29.05
1778114864.580458893,77, 47, 696, 181.75
1778114867.910642824,26, 6, 978, 70.43
1778114868.957594019,27, 7, 1274, 96.63
1778114870.026276311,26, 7, 1572, 60.99
1778114871.072584407,26, 7, 1852, 89.66
1778114872.117189664,28, 7, 2150, 101.45
1778114873.163912749,26, 7, 2430, 79.02
1778114874.204888519,27, 7, 2728, 106.51
1778114875.256046106,28, 8, 3008, 92.51
1778114876.290282500,26, 7, 3304, 80.74
1778114877.327761485,30, 8, 3618, 84.71
1778114878.354868591,26, 7, 3948, 91.86
1778114879.405950228,28, 7, 4262, 101.11
1778114880.457707674,27, 7, 4576, 80.32
1778114881.503161933,29, 7, 4906, 117.61
1778114882.560256077,28, 7, 5218, 72.34
1778114883.596286990,30, 7, 5532, 68.04
1778114884.639883221,28, 7, 5846, 98.67
1778114885.681332472,26, 6, 6160, 146.65
1778114886.733356802,27, 5, 6490, 58.86
1778114887.765392067,25, 5, 6804, 122.28
1778114888.794242470,27, 7, 7116, 75.36
1778114889.827557290,29, 7, 7430, 87.41
1778114890.865316365,29, 6, 7744, 87.38
1778114891.913360911,29, 7, 8058, 90.46
1778114892.960211770,29, 8, 8354, 124.58
1778114894.001439566,28, 7, 8668, 116.44
1778114895.058416913,29, 7, 8966, 143.33
1778114896.095596764,27, 6, 9262, 101.73
1778114897.138461662,28, 7, 9560, 100.34
1778114898.173012873,26, 7, 9872, 41.42
1778114899.251824961,28, 7, 10186, 96.73
1778114902.633356514,26, 7, 10484, 25.34
1778114903.667947599,27, 7, 10764, 98.74
1778114904.738042400,30, 8, 11060, 108.17
1778114905.790757888,27, 7, 11358, 82.47
1778114906.839545963,29, 8, 11638, 93.41
1778114907.870010905,29, 8, 11918, 92.21
1778114908.913260468,28, 7, 12200, 98.27
1778114909.946871213,0, 0, 12364, 18.84
1778114910.993107328,0, 0, 12364, 17.54
