1778114966.723151768,0, 0, 0, 27.76
1778114972.987152636,0, 0, 0, 28.13
1778114975.021914033,0, 0, 2, 28.11
1778114976.885202762,0, 0, 302, 26.01
1778114977.915731924,0, 0, 752, 24.57
1778114978.948105930,0, 0, 752, 24.54
1778114979.992213905,0, 0, 752, 24.80
1778114981.028675741,0, 0, 752, 24.68
1778114982.060788889,0, 0, 752, 24.66
1778114983.091829513,0, 0, 752, 25.83
1778114984.134620975,0, 0, 752, 24.73
1778114985.175043923,0, 0, 752, 24.74
1778114986.223866503,13, 3, 4254, 25.47
1778114987.261414526,0, 0, 406, 17.61
1778114988.523392169,0, 0, 406, 16.92
1778114989.564880113,0, 0, 544, 21.92
1778114990.613765971,0, 0, 622, 22.90
